MOBILE SAFETY CAMERA LOCATION DESCRIPTION REPORT,,,
LOCATION,SUBURB,Reason Code,Audit Date
Elvins Street,MANSFIELD,BCD,Apr-24
Elwers Road,ROSEBUD,BCD,Sep-24
Emily Street,SEYMOUR,ABCD,T
Emu Creek Road,STRATHFIELDSAYE,AC,Oct-24
Emu Road,MAIDSTONE,BC,Aug-23
Epping Road,WOLLERT,ABCD,Aug-24
Epping Road,EPPING,BCD,Aug-24
Epping Road,WOODSTOCK,C,Aug-24
Epsom Road,ASCOT VALE,C,Aug-24
Epsom-Barnadown Road,ASCOT,BC,Oct-24
Ernst Wanke Road,BERWICK,B,Apr-24
Erskine Road,MACLEOD,AC,Aug-24
Esplanade,BRIGHTON,ABCD,Mar-24
Esplanade,MOUNT MARTHA,ABCD,Jul-24
Esplanade,ALTONA,B,Aug-23
Essex Street,WEST FOOTSCRAY,C,Aug-23
Ester Street,GREENSBOROUGH,BCD,Aug-24
Etiwanda Avenue,MILDURA,ABCD,Aug-24
Eureka Street,BALLARAT EAST,ABC,Aug-24
Euroa-Mansfield Road,EUROA,ABC,Apr-24
Euroa-Mansfield Road,GOORAM,ABC,Apr-24
Euroa-Mansfield Road,MERTON,C,Apr-24
Euroa-Shepparton Road,EUROA,C,Apr-24
Euroa-Shepparton Road,MIEPOLL,C,Aug-24
Everleigh Drive,DIAMOND CREEK,BD,Aug-24
Exford Road,EXFORD,ABCD,May-24
Exford Road,MELTON SOUTH,C,May-24
Eynesbury Road,EYNESBURY,BC,May-24
Eyre Street,ECHUCA,C,May-24
Fairbairn Road,SUNSHINE WEST,BCD,Jun-24
Fairbank Road,CLAYTON SOUTH,ABCD,Mar-24
Federation Way,BOWSER,ABC,May-24
Fellmongers Road,BREAKWATER,ABCD,Aug-24
Felltimber Creek Road,WODONGA,BC,Oct-24
Ferntree Gully Road,FERNTREE GULLY,A,Mar-24
Ferntree Gully Road,WHEELERS HILL,ABCD,Nov-23
Ferntree Gully Road,CLAYTON,ABCD,T
Ferris Road,MELTON SOUTH,C,May-24
Field Street,RYE,C,Sep-24
Fifteenth Street,MILDURA,ABCD,Jun-24
Fifteenth Street,IRYMPLE,AC,Aug-24
Finch Street,MALVERN EAST,ABCD,Jun-24
Findon Road,SOUTH MORANG,BC,Aug-24
Findon Road,EPPING,BCD,Aug-24
Finlayson Street,ROSANNA,B,Aug-24
Fischer Street,TORQUAY,ABCD,Aug-24
Fisken Street,BACCHUS MARSH,ABCD,Aug-24
Fitzgerald Road,DERRIMUT,BCD,Jun-24
Fitzgerald Road,SUNSHINE WEST,BCD,Jun-24
Fitzroy Avenue,RED CLIFFS,ABCD,Mar-24
Fitzsimons Lane,TEMPLESTOWE,AC,Jun-24
Flaxen Hills Road,DOREEN,BC,Aug-24
Flaxman Street,WARRNAMBOOL,ABCD,Nov-23
Fletcher Street,ESSENDON,BCD,Aug-24
Flora Avenue,MILDURA,ABCD,Aug-24
Forest Red Gum Drive,MICKLEHAM,ABC,Aug-24
Forrest Street,ALBION,BC,May-24
Forrest Street,ARDEER,BC,May-24
Fosters Road,KEILOR PARK,BCD,Jun-24
Fourteenth Street,MILDURA,ABCD,Aug-24
Fourteenth Street,IRYMPLE,C,Aug-24
Frankston-Dandenong Road,FRANKSTON NORTH,ABCD,Jul-24
Frankston-Dandenong Road,SEAFORD,ABCD,Sep-24
Frankston-Dandenong Road,BANGHOLME,C,Aug-24
Frankston-Dandenong Road,FRANKSTON,C,Sep-24
Frankston-Flinders Road,BITTERN,ABC,Sep-24
Frankston-Flinders Road,SOMERVILLE,ABCD,Sep-24
Frankston-Flinders Road,TYABB,ABCD,Sep-24
Frankston-Flinders Road,FRANKSTON SOUTH,ABCD,T
Frawley Road,HALLAM,ABC,Apr-24
Fryers Road,HIGHTON,BCD,Aug-24
Fullarton Road,KEILOR PARK,BCD,Jun-24
Fulton Road,BLACKBURN SOUTH,ACD,Jun-24
Furlong Road,ST ALBANS,BCD,May-24
Furlong Road,SUNSHINE NORTH,BCD,Jun-24
Fyansford-Gheringhap Road,GHERINGHAP,BC,Aug-24
Gaffney Street,PASCOE VALE,C,Aug-24
Gallaghers Road,GLEN WAVERLEY,C,Jun-24
Gap Road,SUNBURY,ABC,Aug-24
Garden Road,CLAYTON,ABC,Jun-24
Garden Street,PORTLAND,C,T
Gardenia Street,HORSHAM,AC,Oct-24
Garnett Road,WHEELERS HILL,ACD,Jun-24
Gateshead Drive,WANTIRNA SOUTH,BCD,Jul-24
Gayview Drive,WODONGA WEST,ABCD,Oct-24
Gear Avenue,MOUNT HELEN,BC,Aug-24
Geelong Road,BANNOCKBURN,ABCD,Aug-24
Geelong Road,BROOKLYN,ABCD,T
Geelong-Bacchus Marsh Road,BACCHUS MARSH,C,Aug-24
Geelong-Bacchus Marsh Road,BALLIANG EAST,C,Aug-24
Geelong-Ballan Road,BALLAN,ABC,Aug-24
Geelong-Ballan Road,BEREMBOKE,ABC,Aug-24
Geelong-Ballan Road,MOUNT WALLACE,ABC,Aug-24
George Street,SANDRINGHAM,AC,Mar-24
George Street,DONCASTER,C,Jan-24
George Street,HAMILTON,C,Oct-24
Gibsons Road,SALE,C,Dec-23
Gilbert Road,RESERVOIR,ABCD,Aug-24
Gilbert Road,PRESTON,BCD,Feb-24
Gillespie Road,KINGS PARK,BCD,Jun-24
Gillies Road,BALD HILLS,ABCD,Aug-24
Gillies Road,MOUNT ROWAN,BC,Feb-24
Gillies Road,ASCOT,BC,Aug-24
Gillies Road,SULKY,BC,Aug-24
Gillies Street,MARYBOROUGH,BCD,Oct-24
Gisborne - Melton Road,KURUNJANG,BCD,May-24
Gisborne Road,COIMADAI,ABCD,Aug-24
Gisborne Road,BACCHUS MARSH,C,Aug-24
Gisborne-Melton Road,TOOLERN VALE,ABC,May-24
Gisborne-Melton Road,KURUNJANG,ABCD,May-24
Gisborne-Melton Road,MELTON,BC,May-24
Gisbourne Road,DARLEY,ABCD,Aug-24
Gladesville Boulevard,PATTERSON LAKES,ACD,Mar-24
Gladstone Road,DANDENONG NORTH,C,Aug-24
Gladstone Street,MARYBOROUGH,C,Oct-24
Glen Huntly Road,ELWOOD,BC,Jun-24
Glen Iris Road,GLEN IRIS,ABCD,Jul-24
Glen Katherine Drive,ST HELENA,B,Aug-24
Glenbarry Road,CAMPBELLFIELD,BC,Aug-24
Glencairn Drive,GREENVALE,BC,Aug-24
Glenelg Highway,DUNKELD,ABC,Oct-24
Glenelg Highway,WARRAYURE,AC,Oct-24
Glenelg Highway,LAKE BOLAC,AC,Oct-24
Glenelg Highway,WICKLIFFE,AC,Oct-24
Glenelg Highway,SMYTHESDALE,BC,Aug-24
Glenelg Highway,CARRANBALLAC,C,Jan-24
Glenelg Highway,SKIPTON,C,Aug-24
Glenelg Highway,SMYTHES CREEK,C,Aug-24
Glenelg Highway,PITTONG,C,Aug-24
Glenelg Highway,COLERAINE,C,Oct-24
Glenelg Highway,GLENTHOMPSON,C,Oct-24
Glenelg Highway,HAMILTON,C,Oct-24
Glenelg Highway,WANNON,C,Oct-24
Glenelg Highway,STREATHAM,C,Oct-24
Glenelg Highway,WESTMERE,C,Oct-24
Glenelg Highway,CASTERTON,C,T
Glenfern Road,UPWEY,ABC,Jul-24
Glenferrie Road,HAWTHORN,ACD,Jul-24
Glenferrie Road,MALVERN,C,Jun-24
Glengala Road,SUNSHINE WEST,BCD,Jun-24
Glengarry West Road,GLENGARRY WEST,AC,Feb-24
Glenrowan Myrtleford Road,MARKWOOD,C,May-24
Glenrowan-Myrtleford Road,WHOROULY,ABC,May-24
Glenrowan-Myrtleford Road,LACEBY,AC,May-24
Glenroy Road,GLENROY,C,Aug-24
Golf Course Road,HAVEN,C,Oct-24
Golf Links Road,BARWON HEADS,ABCD,Aug-24
Golf Links Road,NARRE WARREN,B,Apr-24
Golf Links Road,FRANKSTON,C,Sep-24
Goodwin Street,BENALLA,BC,May-24
Gordon Street,WODONGA,BCD,Oct-24
Gordons Road,SOUTH MORANG,ABCD,Aug-24
Gorge Road,SOUTH MORANG,AC,Aug-24
Goulburn Valley Freeway,MANGALORE,AC,Aug-24
Goulburn Valley Freeway,NAGAMBIE,C,Aug-24
Goulburn Valley Freeway,WAHRING,C,Aug-24
Goulburn Valley Highway,STRATHMERTON,ABCD,Jul-24
Goulburn Valley Highway,YIELIMA,ABCD,Jul-24
Goulburn Valley Highway,BUNDALONG,ABCD,Jul-24
Goulburn Valley Highway,COBRAM,ABCD,Jul-24
Goulburn Valley Highway,KATAMATITE,ABCD,Jul-24
Goulburn Valley Highway,YARRAWONGA,ABCD,Jul-24
Goulburn Valley Highway,SEYMOUR,ABCD,Aug-24
Goulburn Valley Highway,NATHALIA,ABCD,Aug-24
Goulburn Valley Highway,NUMURKAH,ABCD,Oct-24
Goulburn Valley Highway,WUNGHNU,ABCD,Oct-24
Goulburn Valley Highway,KIALLA WEST,ABCD,T
Goulburn Valley Highway,MOLESWORTH,AC,Aug-24
Goulburn Valley Highway,EILDON,C,Apr-24
Goulburn Valley Highway,KORIELLA,C,Apr-24
Goulburn Valley Highway,HOMEWOOD,C,Aug-24
Goulburn Valley Highway,TALLYGAROOPNA,C,Aug-24
Goulburn Valley Highway,KOONOOMOO,C,Oct-24
Goulburn Valley Hwy,SHEPPARTON NORTH,AC,Aug-24
Gourlay Road,TAYLORS HILL,BC,May-24
Gourlay Road,HILLSIDE,BCD,May-24
Governor Road,BRAESIDE,AC,Mar-24
Gower Street,PRESTON,BCD,Aug-24
Goynes Road,EPSOM,ABCD,Oct-24
Graham Road,KYVALLEY,CD,May-24
Graham Street,PORT MELBOURNE,ABCD,Jun-24
Graham Street,WONTHAGGI,BC,Sep-24
Grampians Road,MOKEPILLY,AC,Oct-24
Grampians Road,HALLS GAP,C,Oct-24
Grandvue Boulevard,PAKENHAM,BC,Apr-24
Grange Drive,SOUTH MORANG,BC,Aug-24
Grange Road,TOORAK,ABC,Jun-24
Grange Road,ALPHINGTON,AC,Aug-24
Grano Street,ARARAT,B,Oct-24
Grants Road,WHITTLESEA,AC,Aug-24
Grants Road,EDEN PARK,C,Aug-24
Gravesend Street,COLAC,AC,Aug-24
Gray Street,SWAN HILL,C,Sep-23
Graydens Road,HASTINGS,ABC,Sep-24
Great Alpine Road,SMOKO,ABC,Mar-24
Great Alpine Road,BOWMANS FOREST,ABC,Apr-24
Great Alpine Road,EUROBIN,ABC,Apr-24
Great Alpine Road,POREPUNKAH,ABCD,Apr-24
Great Alpine Road,EAST WANGARATTA,ACD,May-24
Great Alpine Road,TARRAWINGEE,ACD,May-24
Great Alpine Road,OVENS,B,Apr-24
Great Alpine Road,DOCTORS FLAT,BC,Dec-23
Great Alpine Road,BRIGHT,BC,Apr-24
Great Alpine Road,HARRIETVILLE,BCD,Mar-24
Great Alpine Road,GRANITE ROCK,C,Dec-23
Great Alpine Road,OMEO,C,Dec-23
Great Alpine Road,SARSFIELD,C,Dec-23
Great Alpine Road,SWIFTS CREEK,C,Dec-23
Great Alpine Road,WISELEIGH,C,Dec-23
Great Alpine Road,GAPSTED,CD,T
Great Ocean  Road,ANGLESEA,ABCD,Aug-24
Great Ocean  Road,APOLLO BAY,C,Aug-24
Great Ocean Road,LORNE,ABC,Aug-24
Great Ocean Road,PORT CAMPBELL,ABCD,Nov-23
Great Ocean Road,WONGARRA,AC,Aug-24
Great Ocean Road,PETERBOROUGH,C,Nov-23
Great Ocean Road,SKENES CREEK,C,Aug-24
Greaves Road,NARRE WARREN SOUTH,B,Apr-24
Green Gully Road,KEILOR DOWNS,ABCD,T
Green Street,NOBLE PARK,B,Aug-24
Greenhalghs Road,BUNKERS HILL,BC,Aug-24
Greensborough Road,GREENSBOROUGH,ABCD,Aug-24
Greensborough Road,YALLAMBIE,BCD,Aug-24
Greenvale Drive,GREENVALE,BC,Aug-24
Greenwood Drive,BUNDOORA,BCD,Aug-24
Greigs Road,STRATHTULLOH,ABCD,May-24
Greythorn Road,BALWYN NORTH,C,Jun-24
Grieve Parade,ALTONA NORTH,ABCD,T
Grigg Road,KOONDROOK,C,T
Grubb Road,OCEAN GROVE,BC,Aug-24
Guthridge Parade,SALE,C,Dec-23
Guys Hill Road,STRATHFIELDSAYE,ABCD,Oct-24
Hall Road,CARRUM DOWNS,ABC,Sep-24
Hallam South Road,HAMPTON PARK,AC,Apr-24
Hamilton  Highway,WINGEEL,AC,Aug-24
Hamilton Highway,CRESSY,ABC,Aug-24
Hamilton Highway,BERRYBANK,ABCD,Nov-23
Hamilton Highway,MURGHEBOLUC,AC,Aug-24
Hamilton Highway,STONEHAVEN,AC,Aug-24
Hamilton Highway,LISMORE,C,Nov-23
Hamilton Highway,MORTLAKE,C,Nov-23
Hamilton Highway,PENSHURST,C,Oct-24
Hamilton Street,PETERBOROUGH,ABCD,T
Hamilton Street,BROADFORD,ABCD,T
Hamilton-Natimuk Road,CAVENDISH,C,Oct-24
Hampden Road,ARMADALE,CD,Jun-24
Hampshire Road,SUNSHINE,BCD,Jun-24
Hampton Street,BRIGHTON,ABCD,Mar-24
Hanlon Parade,PORTLAND,C,T
Hanson Road,CRAIGIEBURN,C,Aug-24
Harcourt Road,BORONIA,BC,Feb-24
Harding Street,COBURG,BCD,Aug-24
Hargraves Street,CASTLEMAINE,ABCD,Oct-24
Hargreaves Street,GOLDEN SQUARE,BCD,Oct-24
Harold Road,SPRINGVALE SOUTH,C,Aug-24
Harris Street,WARRNAMBOOL,C,Nov-23
Hatchlands Drive,DEER PARK,BCD,Jun-24
Hattah-Robinvale Road,HATTAH,C,Aug-24
Haverbrack Drive,MULGRAVE,ABCD,Jun-24
Havilah Road,LONG GULLY,BCD,Oct-24
Hawkins Street,SHEPPARTON,BC,Aug-24
Hawthorn Road,CAULFIELD SOUTH,B,Jun-24
Hazel Glen Drive,MERNDA,C,Aug-24
Heads Road,DONVALE,C,Jan-24
Healesville-Kinglake Road,CHUM CREEK,ABCD,Jul-24
Healesville-Koo Wee Rup Road,WOORI YALLOCK,ABC,May-24
Healesville-Koo Wee Rup Road,HEALESVILLE,ABC,Jul-24
Healesville-Koo Wee Rup Road,YELLINGBO,ABC,Jul-24
Heathcote-Nagambie Road,GRAYTOWN,C,Aug-24
Heathcote-Nagambie Road,NAGAMBIE,C,Aug-24
Heatherdale Road,MITCHAM,C,Jun-24
Heatherton Road,CLAYTON SOUTH,AC,Jun-24
Heatherton Road,ENDEAVOUR HILLS,BC,Apr-24
Heaths Road,HOPPERS CROSSING,ABCD,Apr-24
Heaths Road,WERRIBEE,C,Aug-23
Hedderwick Street,ESSENDON,C,Aug-24
Heidelberg Road,CLIFTON HILL,BC,Aug-24
Heidelberg-Kinglake Road,COTTLES BRIDGE,ABCD,Aug-24
Heidelberg-Warrandyte Road,WARRANDYTE,C,Jun-24
Heinz Lane,INVERMAY PARK,BC,Aug-24
Henderson Road,TONGALA,ACD,T
Hendy Main Road,MORIAC,ABC,Aug-24
Hensley Park Road,HAMILTON,C,Oct-24
Henty Highway,BRANXHOLME,ABC,Oct-24
Henty Highway,HAMILTON,ABC,Oct-24
Henty Highway,MOORALLA,C,Oct-24
Henty Highway,BRIMPAEN,C,Oct-24
Henty Highway,BYRNEVILLE,C,Oct-24
Henty Highway,RIVERSIDE,C,Oct-24
Henty Highway,WONWONDAH NORTH,C,Oct-24
Henty Highway,HAVEN,C,T
Henty Street,RESERVOIR,ABCD,Aug-24
Hertford Road,SUNSHINE,BC,May-24
Heyers Road,GROVEDALE,ABCD,Aug-24
Heyington Avenue,THOMASTOWN,BCD,Aug-24
Hidden Valley Boulevard,WALLAN,BC,Aug-24
High Street,KANGAROO FLAT,ABCD,Oct-23
High Street,WINDSOR,ABCD,Jun-24
High Street,BROADFORD,ABCD,Aug-24
High Street,SEYMOUR,ABCD,Aug-24
High Street,LEARMONTH,ABCD,T
High Street,RESERVOIR,AC,Aug-24
High Street,ARARAT,AC,Oct-24
High Street,GOLDEN SQUARE,AC,Oct-24
High Street,MELTON,BCD,May-24
High Street,MELTON WEST,BCD,May-24
High Street,EPPING,BCD,Aug-24
High Street,LALOR,BCD,Aug-24
High Street,GLEN IRIS,C,Jun-24
High Street,KEW,C,Jun-24
High Street,TEMPLESTOWE,C,Jun-24
High Street,BEAUFORT,CD,Aug-24
High Street Road,GLEN WAVERLEY,ABCD,T
High Street Road,WANTIRNA SOUTH,AC,Jul-24
High Street Road,MOUNT WAVERLEY,C,Jun-24
Highbury Road,GLEN WAVERLEY,C,Jun-24
Highbury Road,MOUNT WAVERLEY,C,Jun-24
Highett Road,HIGHETT,ABCD,Jun-24
Highlander Drive,CRAIGIEBURN,ABC,Aug-24
Highlands Road,SEYMOUR,ABC,Aug-24
Highpark Drive,WOLLERT,BCD,Aug-24
Highton Lane,MANSFIELD,BC,Apr-24
Hillcrest Avenue,KEW EAST,ABCD,Jul-24
Hilma Street,SUNSHINE WEST,C,May-24
Hodder Street,BRIGHTON EAST,AC,Mar-24
Hodgins Road,HASTINGS,BCD,Sep-24
Hoffmans Road,NIDDRIE,C,Aug-24
Holden Road,DIGGERS REST,C,May-24
Holdsworth Road,NORTH BENDIGO,ABCD,Oct-24
Holdsworth Road,WHITE HILLS,ABCD,Oct-24
Holmes Street,BRUNSWICK,C,Aug-24
Homestead Road,BERWICK,B,Apr-24
Hopetoun Road,DROUIN,ABCD,Sep-24
Hopetoun Road,TOORAK,BC,Jun-24
Hopkins Highway,GRASSMERE,BC,Nov-23
Hopkins Highway,PURNIM,C,Nov-23
Hopkins Road,TRUGANINA,ABCD,Aug-24
Horace Street,MALVERN,BC,Jun-24
Horseshoe Bend Road,MOUNT DUNEED,BC,Aug-24
Hosie Road,SHEPPARTON EAST,B,Aug-24
Hotham Road,SORRENTO,ABCD,Sep-24
Hotham Road,PORTSEA,C,Sep-24
Hotham Street,RIPPONLEA,ABCD,Jun-24
Howe Parade,GARDEN CITY,B,Jun-24
Howitt Street,WARRAGUL,ACD,T
Howitt Street,BALLARAT NORTH,BCD,Aug-24
Hughes Parade,RESERVOIR,ABC,Aug-24
Hughes Street,OUYEN,C,Aug-24
Hull Road,CROYDON,AC,Jul-24
Hume Drive,TAYLORS HILL,BC,May-24
Hume Drive,SYDENHAM,BC,May-24
Hume Drive,CAROLINE SPRINGS,BCD,May-24
Hume Freeway,BORALMA,ABC,Apr-24
Hume Freeway,BOWSER,ABC,May-24
Hume Freeway,TALLAROOK,ABC,Aug-24
Hume Freeway,BARNAWARTHA NORTH,ABCD,Oct-24
Hume Freeway,WODONGA,ABCD,Oct-24
Hume Freeway,WANGARATTA,AC,Apr-24
Hume Freeway,VIOLET TOWN,AC,Apr-24
Hume Freeway,LOCKSLEY,AC,Aug-24
Hume Freeway,CHILTERN,BC,Oct-24
Hume Freeway,AVENEL,C,Aug-24
Hume Freeway,EUROA,C,Aug-24
Humffray Street N,BROWN HILL,ABCD,T
Humffray Street North,BALLARAT,C,Aug-24
Humphries Road,FRANKSTON,C,Sep-24
Huntingdale Road,OAKLEIGH SOUTH,ABCD,Jun-24
Huntingdale Road,MOUNT WAVERLEY,C,Jun-24
Huon Creek Road,WODONGA,C,Oct-24
Hurd Street,PORTLAND,C,T
Hutchison Street,SALE,C,Dec-23
Hutton Road,KEYSBOROUGH,C,Aug-24
Huxley Avenue,MULGRAVE,BD,Jun-24
Hyland Highway,FLYNNS CREEK UPPER,ABC,Feb-24
Hyland Highway,TRARALGON,ABC,Feb-24
Hyland Highway,YARRAM,C,Dec-23
Ibbotson Street,ST LEONARDS,BCD,Aug-24
Inglis Road,BERWICK,BC,Apr-24
Inglis Street,BALLAN,ABCD,Aug-24
Inglis Street,GOLDEN SQUARE,CD,Oct-24
Inkerman Street,MARYBOROUGH,ABCD,Oct-24
Inverloch-Venus Bay Road,INVERLOCH,B,Sep-24
Inverloch-Venus Bay Road,POUND CREEK,BC,Sep-24
Ironbark Road,YARRAMBAT,ACD,Aug-24
Jacaranda Street,RED CLIFFS,ABCD,Jun-24
Jacksons Road,NOBLE PARK NORTH,BC,Aug-24
James Mirams Drive,ROXBURGH PARK,AC,Aug-24
Jardin Road,WOLLERT,BCD,Jun-24
Jasper Road,BENTLEIGH,ABC,Mar-24
Jasper Road,MCKINNON,BC,Mar-24
Jeeralang North Road,HAZELWOOD NORTH,ABC,Feb-24
Jells Road,WHEELERS HILL,AC,Jan-24
Jetty Road,ROSEBUD,C,Sep-24
JOBS GULLY Road,JACKASS FLAT,CD,Oct-24
John Allan Road,WYUNA,CD,May-24
John Field Drive,NEWBOROUGH,ABCD,Sep-24
Johnson Street,RESERVOIR,BC,Aug-24
Jones Road,SOMERVILLE,BC,Sep-24
Jukes Road,FAWKNER,ABC,Aug-24
Kangaroo Ground-St Andrews Road,SMITHS GULLY,A,Aug-24
Kangaroo Ground-St Andrews Road,PANTON HILL,ABCD,Aug-24
Kangaroo Ground-St Andrews Road,KANGAROO GROUND,AC,Aug-24
Kangaroo Ground-Warrandyte Road,KANGAROO GROUND,BC,Aug-24
Kangaroo Road,MURRUMBEENA,B,Mar-24
Karadoc Avenue,IRYMPLE,BC,Aug-24
Karingal Drive,FRANKSTON,ABC,Sep-24
Karinie Street,SWAN HILL,C,Aug-24
Karook Street,COBRAM,ABCD,Oct-24
Kars Street,FRANKSTON,C,Sep-24
Katamatite Road,CONGUPNA,C,Aug-24
Katamatite-Shepparton Road,TALLYGAROOPNA,C,Aug-24
Keilor Park Drive,KEILOR PARK,ABCD,May-24
Kelvinside Road,NOBLE PARK,BC,Aug-24
Kenmare Street,WATSONIA,C,Aug-24
Kennedy Street,CASTLEMAINE,ABCD,Oct-24
Kensington Road,KENSINGTON,ABC,Aug-24
Kensington Road,LEOPOLD,BC,Aug-24
Kent Street,ASCOT VALE,BC,Aug-24
Keon Parade,KEON PARK,AC,Aug-24
Kerang-Koondrook Road,TEAL POINT,C,Sep-23
Kerang-Murrabit Road,KERANG,BC,Sep-23
Kerang-Murrabit Road,WESTBY,BC,Sep-23
Kerang-Quambatook Road,KERANG,BC,T
Kerferd Road,ALBERT PARK,ABC,Jun-24
Keys Road,MOORABBIN EAST,C,Jun-24
Kialla Lakes Drive,KIALLA,ABCD,Aug-24
Kiewa East Road,KIEWA,ABCD,Oct-24
Kiewa Valley  Highway,TAWONGA,ABCD,Mar-24
Kiewa Valley  Highway,KERGUNYAH,ABCD,Oct-24
Kiewa Valley  Highway,DEDERANG,ABCD,T
Kiewa Valley Highway,KIEWA,ABC,Oct-24
Kiewa Valley Highway,MOUNT BEAUTY,ABCD,Mar-24
Kiewa Valley Highway,TAWONGA,ABCD,Mar-24
Kiewa Valley Highway,TAWONGA SOUTH,ABCD,Mar-24
Kiewa Valley Highway,BARANDUDA,ABCD,Oct-24
Kiewa Valley Highway,RUNNING CREEK,AC,Mar-24
Kiewa Valley Highway,BANDIANA,AC,Oct-24
Kiewa Valley Highway,DEDERANG,BC,Mar-24
Kilby Road,KEW EAST,ACD,Jun-24
Kilmore - Lancefield Road,KILMORE,ABCD,T
Kilmore-Epping Road,WALLAN,ABC,Aug-24
Kilmore-Lancefield Road,KILMORE,C,Aug-24
King Parrot Creek Road,STRATH CREEK,C,Aug-24
King Street,HAMILTON,C,Oct-24
Kings Road,DELAHEY,ABCD,May-24
Kings Road,KINGS PARK,ABCD,May-24
Kings Road,TAYLORS LAKES,ABCD,May-24
Kings Road,ST ALBANS,AC,May-24
Kings Way,MELBOURNE,ABCD,Apr-24
Kingsbury Drive,BUNDOORA,ABCD,Jan-24
Kingsclere Avenue,KEYSBOROUGH,C,Aug-24
Kingston Road,HEATHERTON,AC,Mar-24
Kiora Street,ALTONA MEADOWS,BCD,Aug-23
Kobyboyn Road,SEYMOUR,ABC,Aug-24
Koo Wee Rup-Longwarry Road,BAYLES,B,Apr-24
Koonoomoo Road,COBRAM,C,Oct-24
Koorlong Avenue,IRYMPLE,BCD,Aug-24
Kooyong Road,CAULFIELD NORTH,C,Jun-24
Kooyong Road,CAULFIELD SOUTH,C,Jun-24
Kororoit Creek Road,ALTONA,BCD,Aug-23
Kororoit Creek Road,WILLIAMSTOWN NORTH,C,Aug-23
Kulkyne Way,KARADOC,ABC,Aug-24
Kulkyne Way,IRAAK,AC,Aug-24
Kurrak Road,YARRAMBAT,ABCD,Aug-24
Kyneton-Trentham Road,TRENTHAM,BC,Aug-24
Labuan Road,NUMURKAH,ABCD,Oct-24
Lady Nelson Way,KEILOR DOWNS,C,May-24
Lakeside Drive,MELBOURNE,ABCD,Apr-24
Lakeside Drive,ST KILDA,ABCD,Apr-24
Lakeside Drive,ALBERT PARK,BC,Jun-24
Lakeside Drive,LAKE BOGA,C,T
Lakeview Drive,LILYDALE,ABCD,Jul-24
Lancaster Road,KYABRAM,BC,May-24
Lancefield Road,SUNBURY,ABC,Aug-24
Langs Road,ASCOT VALE,C,Aug-24
Lansdowne Street,EAST MELBOURNE,AD,Apr-24
Latrobe Road,MORWELL,ABCD,Feb-24
Latrobe Road,MARYVALE,BC,Feb-24
LaTrobe Street,REDAN,ABCD,Aug-24
Lawn Road,SPRINGVALE,C,Aug-24
Lawrence Street,WODONGA,B,Oct-24
Leakes Road,PLUMPTON,ABC,May-24
Leakes Road,TRUGANINA,BCD,Aug-23
Leamington Street,RESERVOIR,BCD,Aug-24
Lehmanns Road,WOLLERT,BCD,May-24
Leonard Avenue,ST ALBANS,C,Jun-24
Leppitt Road,PAKENHAM,B,Apr-24
Leslie Street,ST ALBANS,BC,May-24
Liberty Avenue,ROWVILLE,C,May-24
Lincoln Causeway,GATEWAY ISLAND,ABCD,Aug-24
Linsell Boulevard,CRANBOURNE EAST,BC,Apr-24
Lithgow Street,BEVERIDGE,ABCD,T
Liverpool Road,KILSYTH,C,Jul-24
Livingstone Street,AVENEL,BC,Aug-24
Lloyd Street,MOE,ABCD,Feb-24
Lockwood Road,KANGAROO FLAT,ACD,Oct-24
Loddon Valley  Highway,MACORNA,BC,T
Loddon Valley  Highway,TRAGOWEL,C,T
Loddon Valley Highway,KERANG SOUTH,C,Sep-23
Loddon Valley Highway,CANARY ISLAND SOUTH,C,Oct-24
Loddon Valley Highway,DURHAM OX,C,Oct-24
Loddon Valley Highway,JARKLIN,C,Oct-24
Loddon Valley Highway,YARRABERB,C,Oct-24
Loddon Valley Highway,CAMPBELLS FOREST,C,Oct-24
Loddon Valley Highway,TRAGOWEL,C,T
Long Forest Road,LONG FOREST,BC,Aug-24
Longford-Loch Sport Road,LONGFORD,ABC,Dec-23
Longford-Loch Sport Road,DUTSON,C,Dec-23
Lower Dandenong Road,MORDIALLOC,AC,Jun-24
Lower Dandenong Road,DINGLEY VILLAGE,C,Mar-24
Lower Duneed Road,MOUNT DUNEED,ABC,Aug-24
Lower Heidelberg Road,IVANHOE EAST,ABCD,T
Lower Plenty Road,YALLAMBIE,ABC,Aug-24
Ludstone Street,HAMPTON,AC,Mar-24
Lum Road,WHEELERS HILL,BC,Jun-24
Lyall Road,BERWICK,B,Apr-24
Lygon Street,CARLTON NORTH,AC,T
Lynnes Road,WATTLE BANK,BC,Sep-24
Lyon Road,VIEWBANK,BCD,Aug-24
Lyons Street,WHITE HILLS,CD,Oct-24
Lyrebird Drive,CARRUM DOWNS,ABC,Sep-24
MacArthur Street,SALE,C,Dec-23
Macaulay Road,NORTH MELBOURNE,ABC,Aug-24
Mackie Road,BENTLEIGH EAST,BCD,Jun-24
Macleod Street,BAIRNSDALE,BC,Dec-23
Madeira Packet Road,PORTLAND,C,T
Maffra-Rosedale Road,NAMBROK,ABC,Dec-23
Maffra-Sale Road,MAFFRA,ABCD,Dec-23
Maginness Street,BENALLA,C,Apr-24
Maiden Gully Road,MAIDEN GULLY,ABCD,Oct-24
Maidstone Street,ALTONA,C,Aug-23
